loan_amnt,int_rate,term,installment,grade,sub_grade,purpose,annual_inc,dti,home_ownership,addr_state,delinq_2yrs,inq_last_6mths,revol_util,open_acc,total_acc,earliest_cr_line,loan_status,total_pymnt,total_rec_prncp,recoveries,issue_d,Employment_length
20000,7.89, 60 months,404.48,A,A5,debt_consolidation,72000.0,28.58,OWN,NC,0.0,0.0,39.6,18.0,48.0,Jul-1994,Current,16979.39,13155.13,0.0,Aug-2015,-1
18000,7.99, 36 months,563.98,A,A4,credit_card,150000.0,8.47,MORTGAGE,VA,0.0,0.0,87.0,11.0,34.0,Dec-1992,Fully Paid,20243.380006926,18000.0,0.0,Jul-2016,0
16000,8.24, 36 months,503.16,B,B1,credit_card,115000.0,22.16,MORTGAGE,CO,1.0,0.0,87.0,15.0,32.0,Oct-2004,Current,12564.35,10686.83,0.0,Jan-2017,2
30000,17.86, 60 months,759.52,D,D5,debt_consolidation,70000.0,17.16,MORTGAGE,OH,0.0,0.0,39.3,8.0,11.0,Feb-1999,Fully Paid,40739.869618519,30000.0,0.0,May-2015,9
12000,13.18, 36 months,405.37,C,C3,debt_consolidation,50000.0,33.94,MORTGAGE,AL,0.0,0.0,78.0,7.0,11.0,Oct-1999,Charged Off,11750.75,9281.66,0.0,Nov-2015,4
5000,11.55, 36 months,165.0,B,B4,credit_card,75000.0,25.71,MORTGAGE,GA,0.0,3.0,0.9,9.0,21.0,Jan-1991,Current,656.79,474.29,0.0,Oct-2018,9
35000,10.75, 60 months,756.63,B,B4,credit_card,197000.0,19.05,MORTGAGE,CT,0.0,3.0,63.0,10.0,28.0,Nov-1998,Current,26461.15,18120.22,0.0,Mar-2016,5
25000,17.77, 60 months,631.72,D,D1,debt_consolidation,104000.0,16.7,MORTGAGE,CA,0.0,3.0,75.3,13.0,33.0,Mar-1994,Fully Paid,35966.74,25000.0,0.0,Dec-2012,5
16000,6.46, 36 months,490.1,A,A1,debt_consolidation,60000.0,23.2,MORTGAGE,KS,0.0,0.0,40.6,7.0,22.0,Sep-2003,Current,1501.89,1218.44,0.0,Nov-2018,7
6000,9.93, 36 months,193.41,B,B2,major_purchase,125000.0,6.44,RENT,CA,0.0,0.0,0.4,4.0,8.0,Dec-2006,Fully Paid,6444.6756323045,6000.0,0.0,Aug-2017,5
15000,9.43, 60 months,314.52,B,B1,credit_card,62000.0,7.65,RENT,MD,0.0,1.0,69.8,3.0,9.0,Dec-2002,Fully Paid,15734.2583650858,15000.0,0.0,Apr-2018,2
26200,12.29, 60 months,586.66,C,C1,debt_consolidation,57000.0,21.45,MORTGAGE,TX,1.0,0.0,18.1,23.0,40.0,Jun-1996,Fully Paid,29125.6,26200.0,0.0,May-2015,7
11000,15.02, 60 months,261.81,C,C3,debt_consolidation,43837.0,31.07,RENT,TX,0.0,1.0,9.3,7.0,23.0,Dec-2003,Current,1837.26,902.21,0.0,Jul-2018,-1
40000,20.0, 60 months,1059.76,D,D4,credit_card,160000.0,31.97,RENT,TX,0.0,0.0,65.7,19.0,46.0,Oct-1995,Charged Off,12628.23,5168.82,0.0,Sep-2017,2
14000,12.05, 36 months,465.34,C,C1,debt_consolidation,40000.0,38.73,RENT,WI,0.0,1.0,45.4,7.0,16.0,Aug-2003,Fully Paid,15782.7072301047,14000.0,0.0,Nov-2015,5
5000,9.49, 36 months,160.15,B,B2,home_improvement,60000.0,20.02,MORTGAGE,GA,0.0,0.0,28.2,12.0,21.0,Oct-2000,Fully Paid,5662.4800000101,5000.0,0.0,Nov-2014,4
10000,10.99, 60 months,217.38,B,B4,credit_card,34000.0,26.51,MORTGAGE,PA,0.0,1.0,87.1,10.0,26.0,Jun-1994,Current,9766.84,6966.69,0.0,May-2015,10
5100,11.49, 36 months,168.16,B,B5,debt_consolidation,15000.0,12.0,RENT,OR,0.0,0.0,23.8,3.0,10.0,Jul-2006,Fully Paid,5658.5444631924,5100.0,0.0,Nov-2016,5
38000,10.42, 36 months,1233.66,B,B3,credit_card,200000.0,11.72,MORTGAGE,PA,0.0,0.0,57.0,13.0,24.0,Feb-1989,Current,14781.92,11377.51,0.0,Feb-2018,10
5800,19.99, 36 months,215.52,E,E1,debt_consolidation,37000.0,11.29,RENT,MT,0.0,3.0,95.8,7.0,18.0,Aug-2000,Fully Paid,7430.7800011639,5800.0,0.0,May-2014,-1
14400,19.03, 60 months,373.79,D,D3,debt_consolidation,40000.0,33.15,RENT,FL,0.0,0.0,16.5,5.0,13.0,Oct-2011,Fully Paid,16282.9235472536,14400.0,0.0,Sep-2017,1
9000,11.53, 36 months,296.92,B,B5,other,57000.0,21.18,RENT,NM,0.0,0.0,39.8,10.0,21.0,Aug-2000,Fully Paid,10683.038576757,9000.0,0.0,Apr-2015,3
30000,10.99, 36 months,982.02,B,B2,home_improvement,165000.0,13.37,MORTGAGE,TN,0.0,1.0,49.6,10.0,37.0,Oct-1986,Fully Paid,35352.6966947654,30000.0,0.0,Feb-2014,10
5000,7.69, 36 months,155.97,A,A4,car,45760.0,12.17,MORTGAGE,FL,0.0,1.0,31.6,10.0,12.0,Dec-1997,Fully Paid,5612.6898945997,5000.0,0.0,Oct-2014,3
29900,19.03, 36 months,1096.47,D,D3,debt_consolidation,65000.0,16.78,RENT,NC,0.0,0.0,90.2,10.0,18.0,Apr-1999,Current,21976.82,14512.25,0.0,Jun-2017,10
29000,10.99, 60 months,630.39,B,B4,debt_consolidation,185000.0,28.17,MORTGAGE,PA,0.0,2.0,77.3,18.0,44.0,Nov-1993,Current,27089.06,19118.01,0.0,Jul-2015,5
4000,13.99, 36 months,136.7,C,C3,debt_consolidation,114000.0,19.13,MORTGAGE,CA,0.0,0.0,98.2,10.0,20.0,Jul-1994,Fully Paid,4657.9908777558,4000.0,0.0,Jan-2017,10
15000,11.99, 60 months,333.6,B,B5,debt_consolidation,60000.0,8.06,MORTGAGE,NY,0.0,0.0,12.7,7.0,13.0,Nov-2006,Fully Paid,16330.0384418668,15000.0,0.0,Dec-2017,2
24000,13.33, 60 months,550.14,C,C3,debt_consolidation,143000.0,16.88,MORTGAGE,MS,4.0,0.0,88.0,16.0,37.0,Sep-2003,Fully Paid,29147.1283086014,24000.0,0.0,Jun-2015,10
14400,6.72, 36 months,442.79,A,A3,home_improvement,93000.0,16.3,MORTGAGE,MO,1.0,0.0,21.0,13.0,29.0,Mar-1979,Current,5750.89,4869.43,0.0,Jan-2018,-1
10000,12.99, 36 months,336.9,C,C2,debt_consolidation,80000.0,17.24,MORTGAGE,SC,0.0,1.0,69.2,20.0,32.0,Feb-2000,Current,11747.38,9638.65,0.0,Apr-2016,10
20400,15.99, 36 months,717.11,C,C5,debt_consolidation,93000.0,15.12,RENT,IL,0.0,0.0,50.8,8.0,11.0,May-2003,Current,15023.07,10708.64,0.0,May-2017,3
14400,6.72, 36 months,442.79,A,A3,credit_card,87000.0,11.9,RENT,CA,0.0,0.0,40.9,10.0,22.0,Feb-1999,Current,6193.68,5258.85,0.0,Dec-2017,10
32000,15.61, 60 months,771.57,D,D1,credit_card,122000.0,4.03,MORTGAGE,TX,0.0,0.0,48.4,4.0,12.0,Sep-2005,Fully Paid,41860.4994482496,32000.0,0.0,Oct-2015,9
27500,13.33, 60 months,630.37,C,C3,debt_consolidation,80000.0,17.04,RENT,IL,0.0,0.0,50.3,7.0,16.0,Sep-1999,Current,25174.07,16250.92,0.0,Oct-2015,1
8000,11.06, 36 months,262.14,B,B3,debt_consolidation,42500.0,9.26,MORTGAGE,TX,0.0,1.0,32.6,11.0,15.0,Feb-2003,Current,1305.78,959.2,0.0,Sep-2018,10
15050,16.29, 60 months,368.31,D,D2,debt_consolidation,57000.0,29.16,RENT,NY,0.0,0.0,39.6,17.0,44.0,Jun-2003,Fully Paid,21300.4129489837,15050.0,0.0,Aug-2014,10
5000,12.29, 36 months,166.77,C,C1,debt_consolidation,77250.0,14.28,MORTGAGE,VA,0.0,0.0,7.7,11.0,27.0,Mar-1983,Fully Paid,5693.1433466365,5000.0,0.0,Oct-2015,-1
8400,11.06, 36 months,275.25,B,B3,debt_consolidation,52000.0,11.08,RENT,FL,0.0,1.0,21.5,13.0,20.0,Nov-2004,Current,2141.18,1736.55,0.0,Aug-2018,7
16000,15.61, 36 months,559.44,D,D1,other,135000.0,15.03,MORTGAGE,NY,1.0,0.0,88.4,8.0,26.0,Nov-2000,Fully Paid,20153.5659804246,16000.0,0.0,Oct-2015,10
2000,13.58, 36 months,67.95,C,C2,other,28000.0,18.47,RENT,FL,0.0,0.0,31.3,4.0,20.0,Jul-2009,Charged Off,279.78,183.9,0.0,Apr-2018,2
4000,14.33, 36 months,137.36,C,C5,debt_consolidation,22000.0,5.46,RENT,IL,0.0,0.0,9.7,6.0,8.0,Dec-2005,Fully Paid,4402.3688940006,4000.0,0.0,Nov-2015,-1
24000,19.99, 36 months,891.81,D,D4,debt_consolidation,50000.0,26.34,MORTGAGE,FL,0.0,0.0,1.6,16.0,23.0,May-1997,Charged Off,13181.77,6476.25,2506.7,Dec-2016,2
19700,16.99, 60 months,489.49,D,D3,debt_consolidation,56160.0,19.52,RENT,CA,0.0,0.0,74.5,8.0,20.0,Aug-2001,Fully Paid,27503.4832732122,19700.0,0.0,Jul-2014,3
8000,18.24, 36 months,290.19,D,D5,small_business,50000.0,13.15,OWN,CA,0.0,1.0,45.8,3.0,4.0,Aug-2000,Fully Paid,10443.0472632108,8000.0,0.0,Aug-2014,3
12000,26.49, 36 months,486.63,F,F2,other,43000.0,20.23,RENT,NY,1.0,1.0,65.5,12.0,18.0,Oct-2006,Charged Off,8991.02,4007.81,1126.17,Aug-2016,5
18000,20.49, 60 months,481.82,E,E2,debt_consolidation,50000.0,8.74,MORTGAGE,AR,2.0,1.0,57.6,11.0,25.0,Aug-1992,Charged Off,12867.19,5122.36,1303.51,Mar-2014,5
7000,8.39, 36 months,220.62,A,A5,credit_card,40000.0,19.74,RENT,NJ,1.0,0.0,72.4,7.0,23.0,Nov-2001,Fully Paid,7942.1626996733,7000.0,0.0,Aug-2014,1
20000,18.25, 60 months,510.6,E,E1,credit_card,55000.0,29.74,OWN,CA,0.0,0.0,61.6,17.0,28.0,Oct-2004,Charged Off,13331.91,6221.0,0.0,Sep-2015,1
20000,14.99, 36 months,693.21,C,C4,debt_consolidation,62000.0,20.36,MORTGAGE,OH,0.0,0.0,75.8,6.0,13.0,Nov-2001,Fully Paid,23516.6362580377,20000.0,0.0,Jan-2017,10
30000,15.05, 60 months,714.49,C,C4,debt_consolidation,100000.0,23.86,MORTGAGE,CA,0.0,0.0,57.0,23.0,35.0,Jun-2002,Current,12835.74,6782.89,0.0,Jul-2017,5
35000,13.56, 60 months,806.43,C,C1,debt_consolidation,200000.0,12.32,MORTGAGE,NJ,0.0,0.0,76.0,14.0,31.0,Mar-2001,Current,2275.21,1246.78,0.0,Nov-2018,6
7200,19.92, 36 months,267.29,D,D3,debt_consolidation,60000.0,22.88,OWN,OK,0.0,1.0,38.9,14.0,18.0,Jan-2008,Current,1855.09,1087.35,0.0,Jul-2018,3
20000,15.59, 60 months,482.02,D,D1,credit_card,69000.0,10.73,MORTGAGE,UT,1.0,0.0,80.4,7.0,30.0,May-1997,Current,23102.32,14676.37,0.0,Feb-2015,10
19000,8.9, 36 months,603.32,A,A5,debt_consolidation,82000.0,18.38,MORTGAGE,OH,3.0,0.0,8.4,12.0,25.0,Sep-1994,Fully Paid,21599.6600132541,19000.0,0.0,Feb-2014,10
25000,15.61, 60 months,602.79,C,C4,debt_consolidation,55000.0,20.59,RENT,RI,0.0,2.0,43.9,9.0,19.0,Mar-1991,Fully Paid,35323.2940196902,25000.0,0.0,Feb-2014,10
5350,18.2, 36 months,193.96,E,E1,debt_consolidation,65000.0,7.27,OWN,OR,1.0,1.0,40.0,16.0,31.0,Jul-1997,Fully Paid,6985.3927289906,5350.0,0.0,Dec-2015,1
29900,18.99, 60 months,775.46,D,D4,debt_consolidation,65000.0,20.16,MORTGAGE,LA,0.0,1.0,73.0,8.0,36.0,Sep-1996,In Grace Period,27109.56,13991.47,0.0,Feb-2016,10
12000,13.59, 60 months,276.68,C,C2,other,75000.0,14.42,RENT,CT,0.0,0.0,84.2,15.0,22.0,Apr-2002,Current,5565.43,3137.09,0.0,Jun-2017,8
25000,21.98, 36 months,954.51,E,E4,debt_consolidation,85000.0,11.02,RENT,NY,1.0,0.0,76.0,11.0,19.0,Apr-1999,Fully Paid,34361.9916689379,25000.0,0.0,Sep-2012,1
15000,15.05, 36 months,520.35,C,C4,debt_consolidation,55000.0,11.52,MORTGAGE,MI,0.0,3.0,33.1,10.0,16.0,Feb-2011,Current,9874.11,7078.05,0.0,Jul-2017,5
7750,17.77, 36 months,279.29,D,D1,other,60000.0,3.76,RENT,MA,0.0,0.0,74.1,5.0,11.0,Jan-2004,Fully Paid,9967.1700019955,7750.0,0.0,Jun-2013,3
20000,9.92, 36 months,644.6,B,B2,debt_consolidation,50000.0,28.13,MORTGAGE,MN,4.0,0.0,50.6,8.0,24.0,Sep-2003,Fully Paid,20769.6546788713,20000.0,0.0,May-2018,3
2300,16.14, 36 months,81.03,C,C4,credit_card,26650.0,6.53,RENT,NJ,0.0,0.0,31.9,11.0,12.0,Oct-2006,Current,157.94,100.86,0.0,Dec-2018,4
30000,25.81, 60 months,894.85,E,E4,other,103500.0,28.46,MORTGAGE,KS,1.0,0.0,31.1,23.0,34.0,Oct-2005,Current,9800.33,3054.08,0.0,Mar-2018,1
21000,10.75, 36 months,685.03,B,B4,debt_consolidation,170000.0,13.66,MORTGAGE,GA,3.0,0.0,35.5,12.0,32.0,Apr-2001,Current,22612.11,18981.22,0.0,May-2016,3
35000,15.59, 36 months,1223.43,C,C5,debt_consolidation,140000.0,23.97,OWN,NJ,2.0,1.0,53.6,21.0,33.0,Apr-1998,Current,34225.73,25758.32,0.0,Oct-2016,10
12000,15.88, 36 months,421.18,C,C4,debt_consolidation,88000.0,23.74,RENT,AZ,1.0,2.0,51.9,11.0,31.0,Jul-1999,Fully Paid,14806.34,12000.0,0.0,Aug-2013,3
10000,13.56, 60 months,230.41,C,C1,debt_consolidation,93000.0,28.46,RENT,MO,1.0,0.0,57.1,18.0,34.0,Aug-1985,Current,914.11,477.66,0.0,Oct-2018,10
7200,10.42, 36 months,233.75,B,B3,debt_consolidation,25000.0,14.79,RENT,HI,0.0,0.0,22.8,11.0,20.0,Oct-2004,Current,2796.66,2155.79,0.0,Feb-2018,0
6500,10.49, 36 months,211.24,B,B3,car,69500.0,9.54,MORTGAGE,CO,1.0,0.0,68.5,5.0,6.0,Apr-2005,Fully Paid,7358.2834445598,6500.0,0.0,Aug-2016,10
25000,25.57, 60 months,742.17,F,F5,debt_consolidation,79000.0,17.47,RENT,FL,0.0,4.0,13.4,14.0,28.0,Jun-2004,Charged Off,11884.76,3099.84,2272.06,Feb-2015,10
25000,12.74, 36 months,839.23,C,C1,debt_consolidation,80000.0,21.9,RENT,CO,0.0,0.0,64.9,7.0,15.0,Sep-2005,Fully Paid,27278.0894338258,25000.0,0.0,Mar-2017,10
4400,11.39, 36 months,144.87,B,B3,credit_card,55000.0,13.05,MORTGAGE,NY,1.0,0.0,61.8,8.0,24.0,May-1992,Fully Paid,4907.50058503,4400.0,0.0,Dec-2016,10
10000,19.72, 60 months,263.39,D,D5,debt_consolidation,50000.0,25.51,RENT,KS,0.0,3.0,90.5,6.0,16.0,Jun-2002,Fully Paid,15826.5620483188,10000.0,0.0,Sep-2012,4
28000,11.55, 36 months,924.0,B,B4,debt_consolidation,70000.0,11.31,MORTGAGE,FL,1.0,0.0,76.5,8.0,23.0,Aug-2000,Current,6432.07,4715.93,0.0,Jul-2018,6
15000,10.49, 36 months,487.47,B,B2,home_improvement,38200.0,28.34,MORTGAGE,GA,0.0,0.0,36.7,11.0,18.0,Oct-2004,Fully Paid,15681.7804026413,15000.0,0.0,Mar-2017,-1
15000,15.02, 36 months,520.13,C,C3,home_improvement,60000.0,19.31,MORTGAGE,NJ,1.0,0.0,48.6,7.0,16.0,Mar-1995,Current,1547.87,1009.67,0.0,Oct-2018,10
6225,16.99, 36 months,221.91,D,D3,house,70000.0,13.96,RENT,NY,1.0,0.0,2.4,3.0,15.0,Aug-2000,Fully Paid,7474.4200001659,6225.0,0.0,Oct-2014,10
2975,18.49, 36 months,108.29,E,E2,debt_consolidation,25000.0,16.61,RENT,CA,0.0,3.0,8.8,6.0,12.0,Feb-2005,Fully Paid,3099.12,2975.0,0.0,Nov-2015,4
10000,14.46, 60 months,235.08,C,C4,debt_consolidation,66000.0,21.53,MORTGAGE,CA,0.0,0.0,72.5,7.0,19.0,Mar-2005,Fully Paid,11369.305923428,10000.0,0.0,Apr-2016,10
19375,16.99, 36 months,690.68,D,D3,credit_card,50326.0,36.99,MORTGAGE,CT,0.0,2.0,78.4,10.0,15.0,Jun-2005,Charged Off,22774.15,17360.49,0.0,Feb-2015,10
8000,7.02, 36 months,247.09,A,A2,debt_consolidation,65000.0,7.53,MORTGAGE,IN,0.0,1.0,15.8,8.0,10.0,Jan-2005,Current,491.06,401.75,0.0,Dec-2018,10
18000,11.49, 60 months,395.78,B,B5,debt_consolidation,207000.0,20.6,MORTGAGE,MA,0.0,3.0,59.6,12.0,27.0,Aug-1988,Current,11466.13,7427.78,0.0,Sep-2016,10
12000,14.46, 60 months,282.09,C,C4,debt_consolidation,55000.0,6.61,MORTGAGE,IL,0.0,0.0,53.1,24.0,30.0,Aug-2003,Current,10135.96,6151.27,0.0,Feb-2016,10
20000,6.49, 36 months,612.89,A,A2,home_improvement,105000.0,23.61,MORTGAGE,MO,0.0,0.0,50.0,16.0,35.0,Aug-2003,Fully Paid,22049.581550316,20000.0,0.0,Feb-2016,7
11525,14.49, 60 months,271.11,C,C4,vacation,88841.0,31.36,RENT,FL,0.0,1.0,23.9,30.0,49.0,Nov-1986,Current,8128.65,4736.32,0.0,Aug-2016,10
23000,12.85, 36 months,773.31,B,B4,debt_consolidation,110000.0,21.42,MORTGAGE,OH,0.0,1.0,72.8,16.0,30.0,May-1985,Fully Paid,27220.5699898703,23000.0,0.0,Jan-2014,10
19000,10.42, 60 months,407.64,B,B3,car,150000.0,27.26,MORTGAGE,IL,1.0,0.0,29.8,18.0,49.0,Oct-1992,Current,5695.96,3595.76,0.0,Dec-2017,10
40000,9.93, 36 months,1289.38,B,B2,debt_consolidation,40000.0,41.28,MORTGAGE,CA,0.0,0.0,96.7,8.0,19.0,Aug-1995,Late (31-120 days),20518.17,15562.14,0.0,Aug-2017,0
5000,11.99, 36 months,166.05,C,C1,vacation,90000.0,29.17,MORTGAGE,MT,0.0,0.0,62.8,13.0,33.0,Mar-2000,Fully Paid,5103.37,5000.0,0.0,Feb-2016,10
18000,15.99, 60 months,437.63,C,C5,debt_consolidation,40000.0,22.62,MORTGAGE,MO,0.0,2.0,82.3,3.0,9.0,Apr-2011,Charged Off,3922.68,1877.9,0.0,Mar-2017,3
16000,7.49, 36 months,497.63,A,A4,debt_consolidation,106000.0,17.47,RENT,AL,0.0,0.0,81.4,10.0,35.0,Jul-1987,Fully Paid,17907.8595334519,16000.0,0.0,Nov-2014,10
18000,10.99, 36 months,589.22,B,B2,credit_card,116000.0,10.44,MORTGAGE,CA,1.0,2.0,35.2,17.0,26.0,Jul-2003,Fully Paid,20219.43,18000.0,0.0,Apr-2014,3
40000,15.99, 60 months,972.51,C,C5,debt_consolidation,83000.0,10.66,MORTGAGE,CA,0.0,0.0,51.6,10.0,27.0,Jan-2000,Fully Paid,42705.563798118,40000.0,0.0,Nov-2016,10
14350,10.49, 36 months,466.35,B,B3,home_improvement,31200.0,3.88,OWN,PA,0.0,0.0,5.7,5.0,6.0,Nov-1994,Current,14906.47,12524.97,0.0,Jun-2016,-1
5025,23.99, 36 months,197.12,E,E4,debt_consolidation,75000.0,16.82,MORTGAGE,IN,0.0,3.0,85.5,13.0,23.0,Aug-2001,Fully Paid,5115.3600002369,5025.0,0.0,May-2016,10
1500,7.46, 36 months,46.64,A,A4,debt_consolidation,72000.0,10.57,RENT,TX,1.0,0.0,16.7,14.0,17.0,Jun-2012,Current,372.5,305.1,0.0,Jun-2018,10
10000,8.19, 36 months,314.25,A,A5,debt_consolidation,46300.0,25.58,MORTGAGE,FL,0.0,2.0,59.9,16.0,34.0,Aug-2003,Fully Paid,10923.7300000228,10000.0,0.0,Jan-2015,10
9600,11.05, 36 months,314.52,B,B4,credit_card,129000.0,15.45,OWN,SC,0.0,2.0,81.0,8.0,22.0,Aug-2001,Current,2504.37,1867.54,0.0,Jun-2018,10
30000,6.67, 36 months,921.8,A,A2,debt_consolidation,80000.0,12.65,RENT,FL,0.0,1.0,1.6,20.0,25.0,Jan-2002,Current,3676.08,3045.47,0.0,Oct-2018,0
9600,5.32, 36 months,289.11,A,A1,debt_consolidation,132000.0,11.5,MORTGAGE,CA,0.0,0.0,23.2,14.0,32.0,Oct-2000,Current,7299.91,6584.0,0.0,Jan-2017,3
16000,11.53, 60 months,352.13,B,B5,debt_consolidation,42000.0,16.37,RENT,CA,0.0,0.0,79.3,7.0,31.0,Mar-1993,Fully Paid,19531.5959618089,16000.0,0.0,Mar-2015,10
7000,9.44, 36 months,224.04,B,B1,debt_consolidation,53000.0,8.9,MORTGAGE,TN,0.0,0.0,100.0,4.0,14.0,Sep-2004,Current,4249.42,3448.26,0.0,Jul-2017,7
32000,9.43, 36 months,1024.01,B,B1,other,186000.0,17.69,MORTGAGE,OR,0.0,0.0,78.5,11.0,22.0,Oct-1992,Current,11247.35,8839.87,0.0,Mar-2018,2
25000,6.71, 36 months,768.62,A,A3,home_improvement,125000.0,7.22,MORTGAGE,TX,0.0,2.0,27.8,9.0,31.0,Aug-1993,Current,8445.5,7113.78,0.0,Mar-2018,-1
40000,11.99, 36 months,1328.39,B,B5,other,59000.0,39.95,RENT,FL,0.0,2.0,0.4,28.0,53.0,Oct-1989,Current,19936.37,14948.68,0.0,Oct-2017,3
25000,14.31, 36 months,858.21,C,C4,credit_card,65000.0,17.82,RENT,MS,0.0,1.0,62.8,14.0,26.0,Jun-2000,Fully Paid,28201.26,25000.0,0.0,Jan-2015,10
9000,9.93, 36 months,290.11,B,B2,credit_card,65000.0,20.22,RENT,FL,0.0,0.0,41.4,14.0,30.0,Nov-2005,Fully Paid,9932.1016235228,9000.0,0.0,Sep-2017,10
4800,14.99, 36 months,166.38,C,C4,credit_card,54000.0,19.39,MORTGAGE,OH,0.0,2.0,23.9,8.0,19.0,Aug-1998,Fully Paid,5673.4200000881,4800.0,0.0,Feb-2017,10
24000,10.9, 60 months,520.63,B,B4,debt_consolidation,54500.0,16.14,RENT,NY,0.0,0.0,7.6,7.0,14.0,Mar-2008,Current,4671.14,2824.76,0.0,May-2018,3
12000,11.99, 36 months,398.52,C,C1,debt_consolidation,45000.0,27.44,RENT,OH,0.0,2.0,59.8,10.0,35.0,Oct-2003,Fully Paid,12562.2700005209,12000.0,0.0,Feb-2016,10
20000,10.08, 60 months,425.73,B,B1,debt_consolidation,120000.0,18.05,MORTGAGE,TX,0.0,0.0,45.4,17.0,25.0,Feb-2003,Current,2531.98,1579.22,0.0,Aug-2018,10
40000,13.56, 60 months,921.64,C,C1,debt_consolidation,300000.0,7.0,MORTGAGE,TX,2.0,1.0,1.9,10.0,22.0,Sep-1994,Current,1798.08,944.59,0.0,Dec-2018,10
1200,12.69, 36 months,40.26,C,C2,major_purchase,36000.0,25.83,RENT,TX,0.0,1.0,6.1,9.0,19.0,Oct-2004,Fully Paid,1208.88,1200.0,0.0,Oct-2015,0
18200,25.82, 60 months,542.98,E,E4,home_improvement,50000.0,21.22,MORTGAGE,IN,0.0,1.0,58.6,9.0,25.0,Oct-1994,Fully Paid,18343.591666666,18200.0,0.0,Jul-2017,7
3000,11.47, 36 months,98.89,B,B5,other,17000.0,4.59,OWN,VA,0.0,1.0,6.6,6.0,11.0,Aug-2003,Fully Paid,3116.51,3000.0,0.0,Mar-2016,2
4200,7.97, 36 months,131.56,A,A5,major_purchase,38000.0,24.74,MORTGAGE,NC,0.0,0.0,33.6,22.0,24.0,Sep-1993,Current,1574.07,1290.44,0.0,Feb-2018,10
12000,10.74, 36 months,391.39,B,B2,debt_consolidation,73000.0,11.92,MORTGAGE,CO,0.0,0.0,76.9,7.0,18.0,May-1999,Fully Paid,13859.6665722983,12000.0,0.0,Feb-2012,4
18000,10.42, 36 months,584.37,B,B3,debt_consolidation,90000.0,19.83,RENT,OH,0.0,1.0,66.4,23.0,38.0,Sep-1991,Current,8186.39,6343.27,0.0,Nov-2017,9
10000,6.72, 36 months,307.5,A,A3,credit_card,100000.0,2.28,RENT,NY,0.0,1.0,13.2,6.0,6.0,Nov-2013,Current,6297.53,5663.28,0.0,Dec-2017,3
40000,16.14, 60 months,975.71,C,C4,home_improvement,145000.0,25.37,MORTGAGE,VA,1.0,0.0,72.1,18.0,40.0,Aug-2002,Current,5782.53,2716.17,0.0,Aug-2018,3
