loan_amnt,term_months,int_rate,installment,grade_ord,sub_grade_ord,emp_length_years,annual_inc,dti,revol_util,inq_last_6mths,open_acc,total_acc,issue_d_year,issue_d_month,earliest_cr_line_year,earliest_cr_line_month,credit_history_age_months,addr_state,loan_status,total_pymnt,total_rec_prncp
12000,60.0,14.46,282.09,5.0,14.0,10.0,55000.0,6.61,53.1,0.0,24.0,30.0,2016.0,2.0,2003.0,8.0,150.0,IL,Current,10135.96,6151.27
20000,36.0,6.49,612.89,7.0,2.0,7.0,105000.0,23.61,50.0,0.0,16.0,35.0,2016.0,2.0,2003.0,8.0,150.0,MO,Fully Paid,22049.581550316,20000.0
11525,60.0,14.49,271.11,5.0,14.0,10.0,88841.0,31.36,23.9,1.0,30.0,49.0,2016.0,8.0,1986.0,11.0,357.0,FL,Current,8128.65,4736.32
23000,36.0,12.85,773.31,6.0,9.0,10.0,110000.0,21.42,72.8,1.0,16.0,30.0,2014.0,1.0,1985.0,5.0,344.0,OH,Fully Paid,27220.5699898703,23000.0
19000,60.0,10.42,407.64,6.0,8.0,10.0,150000.0,27.26,29.8,0.0,18.0,49.0,2017.0,12.0,1992.0,10.0,302.0,IL,Current,5695.96,3595.76
40000,36.0,9.93,1289.38,6.0,7.0,0.0,40000.0,41.28,96.7,0.0,8.0,19.0,2017.0,8.0,1995.0,8.0,264.0,CA,Late (31-120 days),20518.17,15562.14
5000,36.0,11.99,166.05,5.0,11.0,10.0,90000.0,29.17,62.8,0.0,13.0,33.0,2016.0,2.0,2000.0,3.0,191.0,MT,Fully Paid,5103.37,5000.0
18000,60.0,15.99,437.63,5.0,15.0,3.0,40000.0,22.62,82.3,2.0,3.0,9.0,2017.0,3.0,2011.0,4.0,71.0,MO,Charged Off,3922.68,1877.9
16000,36.0,7.49,497.63,7.0,4.0,10.0,106000.0,17.47,81.4,0.0,10.0,35.0,2014.0,11.0,1987.0,7.0,328.0,AL,Fully Paid,17907.8595334519,16000.0
18000,36.0,10.99,589.22,6.0,7.0,3.0,116000.0,10.44,35.2,2.0,17.0,26.0,2014.0,4.0,2003.0,7.0,129.0,CA,Fully Paid,20219.43,18000.0
40000,60.0,15.99,972.51,5.0,15.0,10.0,83000.0,10.66,51.6,0.0,10.0,27.0,2016.0,11.0,2000.0,1.0,202.0,CA,Fully Paid,42705.563798118,40000.0
14350,36.0,10.49,466.35,6.0,8.0,1.0,31200.0,3.88,5.7,0.0,5.0,6.0,2016.0,6.0,1994.0,11.0,259.0,PA,Current,14906.47,12524.97
5025,36.0,23.99,197.12,3.0,24.0,10.0,75000.0,16.82,85.5,3.0,13.0,23.0,2016.0,5.0,2001.0,8.0,177.0,IN,Fully Paid,5115.3600002369,5025.0
1500,36.0,7.46,46.64,7.0,4.0,10.0,72000.0,10.57,16.7,0.0,14.0,17.0,2018.0,6.0,2012.0,6.0,72.0,TX,Current,372.5,305.1
10000,36.0,8.19,314.25,7.0,5.0,10.0,46300.0,25.58,59.9,2.0,16.0,34.0,2015.0,1.0,2003.0,8.0,137.0,FL,Fully Paid,10923.7300000228,10000.0
9600,36.0,11.05,314.52,6.0,9.0,10.0,129000.0,15.45,81.0,2.0,8.0,22.0,2018.0,6.0,2001.0,8.0,202.0,SC,Current,2504.37,1867.54
30000,36.0,6.67,921.8,7.0,2.0,0.0,80000.0,12.65,1.6,1.0,20.0,25.0,2018.0,10.0,2002.0,1.0,201.0,FL,Current,3676.08,3045.47
9600,36.0,5.32,289.11,7.0,1.0,3.0,132000.0,11.5,23.2,0.0,14.0,32.0,2017.0,1.0,2000.0,10.0,195.0,CA,Current,7299.91,6584.0
16000,60.0,11.53,352.13,6.0,10.0,10.0,42000.0,16.37,79.3,0.0,7.0,31.0,2015.0,3.0,1993.0,3.0,264.0,CA,Fully Paid,19531.5959618089,16000.0
7000,36.0,9.44,224.04,6.0,6.0,7.0,53000.0,8.9,100.0,0.0,4.0,14.0,2017.0,7.0,2004.0,9.0,154.0,TN,Current,4249.42,3448.26
32000,36.0,9.43,1024.01,6.0,6.0,2.0,186000.0,17.69,78.5,0.0,11.0,22.0,2018.0,3.0,1992.0,10.0,305.0,OR,Current,11247.35,8839.87
25000,36.0,6.71,768.62,7.0,3.0,1.0,125000.0,7.22,27.8,2.0,9.0,31.0,2018.0,3.0,1993.0,8.0,295.0,TX,Current,8445.5,7113.78
40000,36.0,11.99,1328.39,6.0,10.0,3.0,59000.0,39.95,0.4,2.0,28.0,53.0,2017.0,10.0,1989.0,10.0,336.0,FL,Current,19936.37,14948.68
25000,36.0,14.31,858.21,5.0,14.0,10.0,65000.0,17.82,62.8,1.0,14.0,26.0,2015.0,1.0,2000.0,6.0,175.0,MS,Fully Paid,28201.26,25000.0
9000,36.0,9.93,290.11,6.0,7.0,10.0,65000.0,20.22,41.4,0.0,14.0,30.0,2017.0,9.0,2005.0,11.0,142.0,FL,Fully Paid,9932.1016235228,9000.0
4800,36.0,14.99,166.38,5.0,14.0,10.0,54000.0,19.39,23.9,2.0,8.0,19.0,2017.0,2.0,1998.0,8.0,222.0,OH,Fully Paid,5673.4200000881,4800.0
24000,60.0,10.9,520.63,6.0,9.0,3.0,54500.0,16.14,7.6,0.0,7.0,14.0,2018.0,5.0,2008.0,3.0,122.0,NY,Current,4671.14,2824.76
12000,36.0,11.99,398.52,5.0,11.0,10.0,45000.0,27.44,59.8,2.0,10.0,35.0,2016.0,2.0,2003.0,10.0,148.0,OH,Fully Paid,12562.2700005209,12000.0
20000,60.0,10.08,425.73,6.0,6.0,10.0,120000.0,18.05,45.4,0.0,17.0,25.0,2018.0,8.0,2003.0,2.0,186.0,TX,Current,2531.98,1579.22
40000,60.0,13.56,921.64,5.0,11.0,10.0,300000.0,7.0,1.9,1.0,10.0,22.0,2018.0,12.0,1994.0,9.0,291.0,TX,Current,1798.08,944.59
1200,36.0,12.69,40.26,5.0,12.0,0.0,36000.0,25.83,6.1,1.0,9.0,19.0,2015.0,10.0,2004.0,10.0,132.0,TX,Fully Paid,1208.88,1200.0
18200,60.0,25.82,542.98,3.0,24.0,7.0,50000.0,21.22,58.6,1.0,9.0,25.0,2017.0,7.0,1994.0,10.0,273.0,IN,Fully Paid,18343.591666666,18200.0
3000,36.0,11.47,98.89,6.0,10.0,2.0,17000.0,4.59,6.6,1.0,6.0,11.0,2016.0,3.0,2003.0,8.0,151.0,VA,Fully Paid,3116.51,3000.0
4200,36.0,7.97,131.56,7.0,5.0,10.0,38000.0,24.74,33.6,0.0,22.0,24.0,2018.0,2.0,1993.0,9.0,293.0,NC,Current,1574.07,1290.44
12000,36.0,10.74,391.39,6.0,7.0,4.0,73000.0,11.92,76.9,0.0,7.0,18.0,2012.0,2.0,1999.0,5.0,153.0,CO,Fully Paid,13859.6665722983,12000.0
18000,36.0,10.42,584.37,6.0,8.0,9.0,90000.0,19.83,66.4,1.0,23.0,38.0,2017.0,11.0,1991.0,9.0,314.0,OH,Current,8186.39,6343.27
10000,36.0,6.72,307.5,7.0,3.0,3.0,100000.0,2.28,13.2,1.0,6.0,6.0,2017.0,12.0,2013.0,11.0,49.0,NY,Current,6297.53,5663.28
40000,60.0,16.14,975.71,5.0,14.0,3.0,145000.0,25.37,72.1,0.0,18.0,40.0,2018.0,8.0,2002.0,8.0,192.0,VA,Current,5782.53,2716.17
30000,60.0,15.31,718.59,5.0,15.0,2.0,70000.0,14.79,29.5,1.0,9.0,33.0,2016.0,3.0,1985.0,11.0,364.0,AZ,Charged Off,7134.87,3557.92
4800,36.0,10.42,155.84,6.0,8.0,9.0,62000.0,19.9,86.6,0.0,8.0,11.0,2017.0,8.0,2007.0,5.0,123.0,IL,Current,2799.56,2213.81
9500,36.0,18.99,348.19,4.0,18.0,6.0,42000.0,19.51,0.5,1.0,10.0,19.0,2017.0,5.0,2002.0,10.0,175.0,IL,Current,7353.37,4883.28
8325,36.0,15.1,289.0,5.0,12.0,10.0,25000.0,19.73,48.2,0.0,6.0,20.0,2013.0,11.0,1997.0,4.0,199.0,TN,Fully Paid,10403.1399995837,8325.0
11000,60.0,13.98,255.84,5.0,13.0,7.0,53000.0,24.76,44.5,0.0,10.0,16.0,2014.0,10.0,2003.0,6.0,136.0,NV,Charged Off,8021.83,2853.29
4600,36.0,11.05,150.71,6.0,9.0,10.0,32000.0,8.81,32.8,0.0,5.0,10.0,2018.0,6.0,2009.0,11.0,103.0,KS,Current,1202.86,895.27
12500,36.0,10.99,409.18,6.0,9.0,0.0,38000.0,27.51,62.7,0.0,11.0,22.0,2015.0,10.0,1980.0,8.0,422.0,MI,Fully Paid,14394.3895366033,12500.0
21000,36.0,11.99,697.41,6.0,8.0,0.0,105000.0,27.1,62.1,0.0,13.0,55.0,2013.0,11.0,1998.0,2.0,189.0,OK,Fully Paid,22539.43,21000.0
10200,36.0,7.97,319.49,7.0,5.0,10.0,83000.0,18.55,67.7,0.0,10.0,23.0,2017.0,12.0,1998.0,5.0,235.0,VT,Current,4488.83,3705.83
16900,60.0,17.57,425.21,4.0,19.0,0.0,38500.0,26.82,67.2,1.0,9.0,22.0,2014.0,7.0,2002.0,8.0,143.0,TX,Fully Paid,21569.15,16900.0
3850,36.0,22.39,147.82,3.0,21.0,1.0,76000.0,16.53,53.6,1.0,8.0,17.0,2016.0,6.0,1986.0,8.0,358.0,NV,Charged Off,2415.06,1006.41
9000,36.0,7.9,281.62,7.0,4.0,10.0,80000.0,23.66,76.8,0.0,10.0,27.0,2013.0,1.0,1981.0,8.0,377.0,PA,Fully Paid,10126.04,9000.0
