loan_amnt,int_rate,installment,sub_grade,issue_d,issue_d_year,issue_d_month,annual_inc,dti,emp_length_years,addr_state,revol_bal,revol_util,credit_history_age_months,total_pymnt,total_rec_int,recoveries,last_pymnt_d,last_pymnt_amnt,payment_to_loan_ratio,income_to_loan_ratio,grade_ord,sub_grade_ord,loan_status_binary
12000,13.18,405.37,12,1970-01-01 00:00:00.000000102,2015,11,50000.0,33.94,4.0,1,7305,78.0,193.0,11750.75,2469.09,0.0,1970-01-01 00:00:00.000000007,405.37,0.9792291666666668,4.166666666666667,5.0,13.0,0
5000,11.55,165.0,8,1970-01-01 00:00:00.000000115,2018,10,75000.0,25.71,9.0,10,206,0.9,333.0,656.79,182.5,0.0,1970-01-01 00:00:00.000000032,165.0,0.131358,15.0,6.0,9.0,0
35000,10.75,756.63,8,1970-01-01 00:00:00.000000082,2016,3,197000.0,19.05,5.0,6,73019,63.0,208.0,26461.15,8340.93,0.0,1970-01-01 00:00:00.000000032,756.63,0.7560328571428572,5.628571428571429,6.0,9.0,0
25000,17.77,631.72,15,1970-01-01 00:00:00.000000026,2012,12,104000.0,16.7,5.0,4,45794,75.3,225.0,35966.74,10966.74,0.0,1970-01-01 00:00:00.000000065,11961.38,1.4386696,4.16,4.0,16.0,0
16000,6.46,490.1,0,1970-01-01 00:00:00.000000105,2018,11,60000.0,23.2,7.0,15,19541,40.6,182.0,1501.89,283.45,0.0,1970-01-01 00:00:00.000000032,490.1,0.093868125,3.75,7.0,1.0,0
6000,9.93,193.41,6,1970-01-01 00:00:00.000000020,2017,8,125000.0,6.44,5.0,4,9,0.4,128.0,6444.6756323045,444.68,0.0,1970-01-01 00:00:00.000000058,4707.3,1.0741126053840833,20.83333333333333,6.0,7.0,0
15000,9.43,314.52,5,1970-01-01 00:00:00.000000010,2018,4,62000.0,7.65,2.0,19,16399,69.8,184.0,15734.2583650858,734.26,0.0,1970-01-01 00:00:00.000000024,1548.34,1.0489505576723863,4.133333333333334,6.0,6.0,0
26200,12.29,586.66,10,1970-01-01 00:00:00.000000091,2015,5,57000.0,21.45,7.0,42,8836,18.1,227.0,29125.6,2925.6,0.0,1970-01-01 00:00:00.000000005,23276.89,1.1116641221374046,2.175572519083969,5.0,11.0,0
11000,15.02,261.81,12,1970-01-01 00:00:00.000000064,2018,7,43837.0,31.07,,42,2381,9.3,175.0,1837.26,935.05,0.0,1970-01-01 00:00:00.000000032,261.81,0.1670236363636363,3.985181818181818,5.0,13.0,0
40000,20.0,1059.76,18,1970-01-01 00:00:00.000000124,2017,9,160000.0,31.97,2.0,42,46226,65.7,263.0,12628.23,7459.41,0.0,1970-01-01 00:00:00.000000096,1059.76,0.31570575,4.0,4.0,19.0,0
14000,12.05,465.34,10,1970-01-01 00:00:00.000000102,2015,11,40000.0,38.73,5.0,47,5681,45.4,147.0,15782.7072301047,1782.71,0.0,1970-01-01 00:00:00.000000030,9277.32,1.1273362307217645,2.857142857142857,5.0,11.0,0
5000,9.49,160.15,6,1970-01-01 00:00:00.000000101,2014,11,60000.0,20.02,4.0,10,4455,28.2,169.0,5662.4800000101,662.48,0.0,1970-01-01 00:00:00.000000094,2144.45,1.13249600000202,12.0,6.0,7.0,0
10000,10.99,217.38,8,1970-01-01 00:00:00.000000091,2015,5,34000.0,26.51,10.0,37,8624,87.1,251.0,9766.84,2800.15,0.0,1970-01-01 00:00:00.000000032,217.38,0.976684,3.4,6.0,9.0,0
5100,11.49,168.16,9,1970-01-01 00:00:00.000000103,2016,11,15000.0,12.0,5.0,36,4839,23.8,124.0,5658.5444631924,558.54,0.0,1970-01-01 00:00:00.000000023,3475.72,1.1095185221945882,2.9411764705882355,6.0,10.0,0
38000,10.42,1233.66,7,1970-01-01 00:00:00.000000043,2018,2,200000.0,11.72,10.0,37,60201,57.0,348.0,14781.92,3404.41,0.0,1970-01-01 00:00:00.000000032,1233.66,0.3889978947368421,5.2631578947368425,6.0,8.0,0
5800,19.99,215.52,20,1970-01-01 00:00:00.000000090,2014,5,37000.0,11.29,,25,4309,95.8,165.0,7430.7800011639,1630.78,0.0,1970-01-01 00:00:00.000000065,2904.86,1.2811689657179135,6.379310344827586,3.0,21.0,0
14400,19.03,373.79,17,1970-01-01 00:00:00.000000124,2017,9,40000.0,33.15,1.0,9,2099,16.5,71.0,16282.9235472536,1882.92,0.0,1970-01-01 00:00:00.000000077,13696.84,1.130758579670389,2.7777777777777777,4.0,18.0,0
9000,11.53,296.92,9,1970-01-01 00:00:00.000000007,2015,4,57000.0,21.18,3.0,31,6015,39.8,176.0,10683.038576757,1683.04,0.0,1970-01-01 00:00:00.000000007,296.6,1.1870042863063337,6.333333333333333,6.0,10.0,0
30000,10.99,982.02,6,1970-01-01 00:00:00.000000039,2014,2,165000.0,13.37,10.0,41,36599,49.6,328.0,35352.6966947654,5352.7,0.0,1970-01-01 00:00:00.000000030,982.0,1.1784232231588467,5.5,6.0,7.0,0
5000,7.69,155.97,3,1970-01-01 00:00:00.000000111,2014,10,45760.0,12.17,3.0,9,2116,31.6,202.0,5612.6898945997,612.69,0.0,1970-01-01 00:00:00.000000095,155.88,1.12253797891994,9.152,7.0,4.0,0
29900,19.03,1096.47,17,1970-01-01 00:00:00.000000073,2017,6,65000.0,16.78,10.0,26,24270,90.2,218.0,21976.82,7464.57,0.0,1970-01-01 00:00:00.000000032,1096.47,0.7350107023411371,2.1739130434782608,4.0,18.0,0
29000,10.99,630.39,8,1970-01-01 00:00:00.000000061,2015,7,185000.0,28.17,5.0,37,206502,77.3,260.0,27089.06,7971.05,0.0,1970-01-01 00:00:00.000000032,630.39,0.9341055172413794,6.379310344827586,6.0,9.0,0
4000,13.99,136.7,12,1970-01-01 00:00:00.000000053,2017,1,114000.0,19.13,10.0,4,36247,98.2,270.0,4657.9908777558,657.99,0.0,1970-01-01 00:00:00.000000058,2473.9,1.16449771943895,28.5,5.0,13.0,0
15000,11.99,333.6,9,1970-01-01 00:00:00.000000031,2017,12,60000.0,8.06,2.0,33,2913,12.7,133.0,16330.0384418668,1330.04,0.0,1970-01-01 00:00:00.000000105,13621.27,1.0886692294577869,4.0,6.0,10.0,0
24000,13.33,550.14,12,1970-01-01 00:00:00.000000071,2015,6,143000.0,16.88,10.0,24,20509,88.0,141.0,29147.1283086014,5147.13,0.0,1970-01-01 00:00:00.000000076,17184.77,1.2144636795250583,5.958333333333333,5.0,13.0,0
14400,6.72,442.79,2,1970-01-01 00:00:00.000000054,2018,1,93000.0,16.3,,23,11670,21.0,466.0,5750.89,881.46,0.0,1970-01-01 00:00:00.000000032,442.79,0.3993673611111111,6.458333333333333,7.0,3.0,0
10000,12.99,336.9,11,1970-01-01 00:00:00.000000008,2016,4,80000.0,17.24,10.0,39,13226,69.2,194.0,11747.38,2108.73,0.0,1970-01-01 00:00:00.000000032,336.9,1.1747379999999998,8.0,5.0,12.0,0
20400,15.99,717.11,14,1970-01-01 00:00:00.000000093,2017,5,93000.0,15.12,3.0,13,5184,50.8,168.0,15023.07,4314.43,0.0,1970-01-01 00:00:00.000000032,717.11,0.736425,4.5588235294117645,5.0,15.0,0
14400,6.72,442.79,2,1970-01-01 00:00:00.000000031,2017,12,87000.0,11.9,10.0,4,12012,40.9,226.0,6193.68,934.83,0.0,1970-01-01 00:00:00.000000032,442.79,0.4301166666666667,6.041666666666667,7.0,3.0,0
32000,15.61,771.57,15,1970-01-01 00:00:00.000000112,2015,10,122000.0,4.03,9.0,42,16228,48.4,121.0,41860.4994482496,9860.5,0.0,1970-01-01 00:00:00.000000067,17325.92,1.3081406077578,3.8125,4.0,16.0,0
27500,13.33,630.37,12,1970-01-01 00:00:00.000000112,2015,10,80000.0,17.04,1.0,13,10315,50.3,193.0,25174.07,8923.15,0.0,1970-01-01 00:00:00.000000032,630.37,0.9154207272727272,2.909090909090909,5.0,13.0,0
8000,11.06,262.14,7,1970-01-01 00:00:00.000000125,2018,9,42500.0,9.26,10.0,42,3842,32.6,187.0,1305.78,346.58,0.0,1970-01-01 00:00:00.000000032,262.14,0.1632225,5.3125,6.0,8.0,0
15050,16.29,368.31,16,1970-01-01 00:00:00.000000017,2014,8,57000.0,29.16,10.0,33,10481,39.6,134.0,21300.4129489837,6250.41,0.0,1970-01-01 00:00:00.000000040,6568.01,1.4153098304972558,3.787375415282392,4.0,17.0,0
5000,12.29,166.77,10,1970-01-01 00:00:00.000000112,2015,10,77250.0,14.28,,44,1789,7.7,391.0,5693.1433466365,693.14,0.0,1970-01-01 00:00:00.000000006,2294.69,1.1386286693273,15.45,5.0,11.0,0
8400,11.06,275.25,7,1970-01-01 00:00:00.000000021,2018,8,52000.0,11.08,7.0,9,5338,21.5,165.0,2141.18,404.63,0.0,1970-01-01 00:00:00.000000032,275.25,0.2549023809523809,6.190476190476191,6.0,8.0,0
16000,15.61,559.44,15,1970-01-01 00:00:00.000000112,2015,10,135000.0,15.03,10.0,33,7073,88.4,179.0,20153.5659804246,4153.57,0.0,1970-01-01 00:00:00.000000096,559.3,1.2595978737765374,8.4375,4.0,16.0,0
2000,13.58,67.95,11,1970-01-01 00:00:00.000000010,2018,4,28000.0,18.47,2.0,9,1473,31.3,105.0,279.78,80.88,0.0,1970-01-01 00:00:00.000000105,70.1,0.13989,14.0,5.0,12.0,0
4000,14.33,137.36,14,1970-01-01 00:00:00.000000102,2015,11,22000.0,5.46,,13,1509,9.7,119.0,4402.3688940006,402.37,0.0,1970-01-01 00:00:00.000000084,642.02,1.1005922235001502,5.5,5.0,15.0,0
24000,19.99,891.81,18,1970-01-01 00:00:00.000000030,2016,12,50000.0,26.34,2.0,9,613,1.6,235.0,13181.77,4198.82,2506.7,1970-01-01 00:00:00.000000023,891.81,0.5492404166666667,2.083333333333333,4.0,19.0,0
19700,16.99,489.49,17,1970-01-01 00:00:00.000000060,2014,7,56160.0,19.52,3.0,4,22125,74.5,155.0,27503.4832732122,7803.48,0.0,1970-01-01 00:00:00.000000057,10860.82,1.3961159021935128,2.850761421319797,4.0,18.0,0
8000,18.24,290.19,19,1970-01-01 00:00:00.000000017,2014,8,50000.0,13.15,3.0,4,30206,45.8,168.0,10443.0472632108,2443.05,0.0,1970-01-01 00:00:00.000000049,576.59,1.30538090790135,6.25,4.0,20.0,0
12000,26.49,486.63,26,1970-01-01 00:00:00.000000019,2016,8,43000.0,20.23,5.0,33,6882,65.5,118.0,8991.02,3808.38,1126.17,1970-01-01 00:00:00.000000031,510.96,0.7492516666666666,3.583333333333333,2.0,27.0,0
18000,20.49,481.82,21,1970-01-01 00:00:00.000000080,2014,3,50000.0,8.74,5.0,2,8358,57.6,259.0,12867.19,6441.32,1303.51,1970-01-01 00:00:00.000000065,481.82,0.714843888888889,2.7777777777777777,3.0,22.0,0
7000,8.39,220.62,4,1970-01-01 00:00:00.000000017,2014,8,40000.0,19.74,1.0,30,6299,72.4,153.0,7942.1626996733,942.16,0.0,1970-01-01 00:00:00.000000015,220.46,1.1345946713819,5.714285714285714,7.0,5.0,0
20000,18.25,510.6,20,1970-01-01 00:00:00.000000122,2015,9,55000.0,29.74,1.0,4,14477,61.6,131.0,13331.91,7034.32,0.0,1970-01-01 00:00:00.000000040,510.6,0.6665955,2.75,3.0,21.0,0
20000,14.99,693.21,13,1970-01-01 00:00:00.000000053,2017,1,62000.0,20.36,10.0,34,18422,75.8,182.0,23516.6362580377,3516.64,0.0,1970-01-01 00:00:00.000000016,2055.52,1.175831812901885,3.1,5.0,14.0,0
30000,15.05,714.49,13,1970-01-01 00:00:00.000000063,2017,7,100000.0,23.86,5.0,4,33873,57.0,181.0,12835.74,6052.85,0.0,1970-01-01 00:00:00.000000041,714.49,0.427858,3.333333333333333,5.0,14.0,0
35000,13.56,806.43,10,1970-01-01 00:00:00.000000105,2018,11,200000.0,12.32,6.0,30,35582,76.0,212.0,2275.21,1028.43,0.0,1970-01-01 00:00:00.000000032,767.82,0.065006,5.714285714285714,5.0,11.0,0
7200,19.92,267.29,17,1970-01-01 00:00:00.000000064,2018,7,60000.0,22.88,3.0,35,7892,38.9,126.0,1855.09,767.74,0.0,1970-01-01 00:00:00.000000032,267.29,0.2576513888888889,8.333333333333334,4.0,18.0,0
20000,15.59,482.02,15,1970-01-01 00:00:00.000000040,2015,2,69000.0,10.73,10.0,43,9243,80.4,213.0,23102.32,8425.95,0.0,1970-01-01 00:00:00.000000032,482.02,1.155116,3.45,4.0,16.0,0
19000,8.9,603.32,4,1970-01-01 00:00:00.000000039,2014,2,82000.0,18.38,10.0,34,4960,8.4,233.0,21599.6600132541,2599.66,0.0,1970-01-01 00:00:00.000000014,4706.7,1.1368242112239,4.315789473684211,7.0,5.0,0
25000,15.61,602.79,13,1970-01-01 00:00:00.000000039,2014,2,55000.0,20.59,10.0,38,37248,43.9,275.0,35323.2940196902,10323.29,0.0,1970-01-01 00:00:00.000000085,8800.53,1.412931760787608,2.2,5.0,14.0,0
5350,18.2,193.96,20,1970-01-01 00:00:00.000000029,2015,12,65000.0,7.27,1.0,36,6149,40.0,221.0,6985.3927289906,1635.39,0.0,1970-01-01 00:00:00.000000024,193.6,1.3056808839234766,12.149532710280374,3.0,21.0,0
29900,18.99,775.46,18,1970-01-01 00:00:00.000000041,2016,2,65000.0,20.16,10.0,17,21541,73.0,233.0,27109.56,13118.09,0.0,1970-01-01 00:00:00.000000041,775.46,0.9066742474916388,2.1739130434782608,4.0,19.0,0
12000,13.59,276.68,11,1970-01-01 00:00:00.000000073,2017,6,75000.0,14.42,8.0,6,28879,84.2,182.0,5565.43,2428.34,0.0,1970-01-01 00:00:00.000000032,276.68,0.4637858333333333,6.25,5.0,12.0,0
25000,21.98,954.51,23,1970-01-01 00:00:00.000000119,2012,9,85000.0,11.02,1.0,33,10566,76.0,161.0,34361.9916689379,9361.99,0.0,1970-01-01 00:00:00.000000102,959.28,1.374479666757516,3.4,3.0,24.0,0
15000,15.05,520.35,13,1970-01-01 00:00:00.000000063,2017,7,55000.0,11.52,5.0,21,12560,33.1,77.0,9874.11,2796.06,0.0,1970-01-01 00:00:00.000000032,520.35,0.658274,3.6666666666666665,5.0,14.0,0
7750,17.77,279.29,15,1970-01-01 00:00:00.000000069,2013,6,60000.0,3.76,3.0,18,3703,74.1,113.0,9967.1700019955,2217.17,0.0,1970-01-01 00:00:00.000000083,2147.05,1.2860864518703872,7.741935483870968,4.0,16.0,0
20000,9.92,644.6,6,1970-01-01 00:00:00.000000094,2018,5,50000.0,28.13,3.0,22,8247,50.6,176.0,20769.6546788713,769.65,0.0,1970-01-01 00:00:00.000000096,18213.29,1.038482733943565,2.5,6.0,7.0,0
2300,16.14,81.03,13,1970-01-01 00:00:00.000000032,2018,12,26650.0,6.53,4.0,30,2329,31.9,146.0,157.94,57.08,0.0,1970-01-01 00:00:00.000000032,81.03,0.0686695652173913,11.58695652173913,5.0,14.0,0
30000,25.81,894.85,23,1970-01-01 00:00:00.000000084,2018,3,103500.0,28.46,1.0,15,13391,31.1,149.0,9800.33,6746.25,0.0,1970-01-01 00:00:00.000000032,894.85,0.3266776666666666,3.45,3.0,24.0,0
21000,10.75,685.03,8,1970-01-01 00:00:00.000000092,2016,5,170000.0,13.66,3.0,10,3941,35.5,181.0,22612.11,3630.89,0.0,1970-01-01 00:00:00.000000032,685.03,1.0767671428571428,8.095238095238095,6.0,9.0,0
35000,15.59,1223.43,14,1970-01-01 00:00:00.000000113,2016,10,140000.0,23.97,10.0,30,43396,53.6,222.0,34225.73,8467.41,0.0,1970-01-01 00:00:00.000000032,1223.43,0.977878,4.0,5.0,15.0,0
12000,15.88,421.18,13,1970-01-01 00:00:00.000000016,2013,8,88000.0,23.74,3.0,3,15506,51.9,169.0,14806.34,2806.34,0.0,1970-01-01 00:00:00.000000013,5119.2,1.2338616666666666,7.333333333333333,5.0,14.0,0
10000,13.56,230.41,10,1970-01-01 00:00:00.000000115,2018,10,93000.0,28.46,10.0,23,5886,57.1,398.0,914.11,436.45,0.0,1970-01-01 00:00:00.000000032,230.41,0.091411,9.3,5.0,11.0,0
7200,10.42,233.75,7,1970-01-01 00:00:00.000000043,2018,2,25000.0,14.79,0.0,11,8156,22.8,160.0,2796.66,640.87,0.0,1970-01-01 00:00:00.000000032,233.75,0.3884249999999999,3.4722222222222223,6.0,8.0,0
6500,10.49,211.24,7,1970-01-01 00:00:00.000000019,2016,8,69500.0,9.54,10.0,5,6238,68.5,136.0,7358.2834445598,858.28,0.0,1970-01-01 00:00:00.000000007,3363.4,1.132043606855354,10.692307692307692,6.0,8.0,0
25000,25.57,742.17,29,1970-01-01 00:00:00.000000040,2015,2,79000.0,17.47,10.0,9,3664,13.4,128.0,11884.76,6512.86,2272.06,1970-01-01 00:00:00.000000065,742.17,0.4753904,3.16,2.0,30.0,0
25000,12.74,839.23,10,1970-01-01 00:00:00.000000083,2017,3,80000.0,21.9,10.0,5,8496,64.9,138.0,27278.0894338258,2278.09,0.0,1970-01-01 00:00:00.000000023,20581.94,1.091123577353032,3.2,5.0,11.0,0
4400,11.39,144.87,7,1970-01-01 00:00:00.000000030,2016,12,55000.0,13.05,10.0,33,6923,61.8,295.0,4907.50058503,507.5,0.0,1970-01-01 00:00:00.000000031,3026.97,1.115341042052273,12.5,6.0,8.0,0
10000,19.72,263.39,19,1970-01-01 00:00:00.000000119,2012,9,50000.0,25.51,4.0,15,13754,90.5,123.0,15826.5620483188,5826.56,0.0,1970-01-01 00:00:00.000000095,264.0,1.58265620483188,5.0,4.0,20.0,0
28000,11.55,924.0,8,1970-01-01 00:00:00.000000064,2018,7,70000.0,11.31,6.0,9,18348,76.5,215.0,6432.07,1716.14,0.0,1970-01-01 00:00:00.000000032,924.0,0.2297167857142857,2.5,6.0,9.0,0
15000,10.49,487.47,6,1970-01-01 00:00:00.000000083,2017,3,38200.0,28.34,,10,3859,36.7,149.0,15681.7804026413,681.78,0.0,1970-01-01 00:00:00.000000015,14236.85,1.0454520268427534,2.546666666666667,6.0,7.0,0
15000,15.02,520.13,12,1970-01-01 00:00:00.000000115,2018,10,60000.0,19.31,10.0,30,10057,48.6,283.0,1547.87,538.2,0.0,1970-01-01 00:00:00.000000032,520.13,0.1031913333333333,4.0,5.0,13.0,0
6225,16.99,221.91,17,1970-01-01 00:00:00.000000111,2014,10,70000.0,13.96,10.0,33,146,2.4,170.0,7474.4200001659,1249.42,0.0,1970-01-01 00:00:00.000000056,814.01,1.2007100401872932,11.244979919678714,4.0,18.0,0
2975,18.49,108.29,21,1970-01-01 00:00:00.000000102,2015,11,25000.0,16.61,4.0,4,219,8.8,129.0,3099.12,124.12,0.0,1970-01-01 00:00:00.000000029,2996.94,1.0417210084033612,8.403361344537815,3.0,22.0,0
10000,14.46,235.08,13,1970-01-01 00:00:00.000000008,2016,4,66000.0,21.53,10.0,4,4566,72.5,133.0,11369.305923428,1369.31,0.0,1970-01-01 00:00:00.000000006,8799.5,1.1369305923428,6.6,5.0,14.0,0
19375,16.99,690.68,17,1970-01-01 00:00:00.000000040,2015,2,50326.0,36.99,10.0,6,26568,78.4,116.0,22774.15,5413.66,0.0,1970-01-01 00:00:00.000000085,690.68,1.17544,2.5974709677419354,4.0,18.0,0
8000,7.02,247.09,1,1970-01-01 00:00:00.000000032,2018,12,65000.0,7.53,10.0,14,2577,15.8,167.0,491.06,89.31,0.0,1970-01-01 00:00:00.000000032,247.09,0.0613825,8.125,7.0,2.0,0
18000,11.49,395.78,9,1970-01-01 00:00:00.000000123,2016,9,207000.0,20.6,10.0,18,82219,59.6,337.0,11466.13,4038.35,0.0,1970-01-01 00:00:00.000000032,395.78,0.6370072222222222,11.5,6.0,10.0,0
12000,14.46,282.09,13,1970-01-01 00:00:00.000000041,2016,2,55000.0,6.61,10.0,13,10614,53.1,150.0,10135.96,3984.69,0.0,1970-01-01 00:00:00.000000032,282.09,0.8446633333333332,4.583333333333333,5.0,14.0,0
20000,6.49,612.89,1,1970-01-01 00:00:00.000000041,2016,2,105000.0,23.61,7.0,23,17764,50.0,150.0,22049.581550316,2049.58,0.0,1970-01-01 00:00:00.000000032,612.85,1.1024790775158,5.25,7.0,2.0,0
11525,14.49,271.11,13,1970-01-01 00:00:00.000000019,2016,8,88841.0,31.36,10.0,9,17038,23.9,357.0,8128.65,3392.33,0.0,1970-01-01 00:00:00.000000032,271.11,0.7053058568329718,7.708546637744035,5.0,14.0,0
23000,12.85,773.31,8,1970-01-01 00:00:00.000000050,2014,1,110000.0,21.42,10.0,34,37492,72.8,344.0,27220.5699898703,4220.57,0.0,1970-01-01 00:00:00.000000021,10207.75,1.183503043037839,4.782608695652174,6.0,9.0,0
19000,10.42,407.64,7,1970-01-01 00:00:00.000000031,2017,12,150000.0,27.26,10.0,13,72761,29.8,302.0,5695.96,2100.2,0.0,1970-01-01 00:00:00.000000032,407.64,0.2997873684210526,7.894736842105263,6.0,8.0,0
40000,9.93,1289.38,6,1970-01-01 00:00:00.000000020,2017,8,40000.0,41.28,0.0,4,12764,96.7,264.0,20518.17,4698.15,0.0,1970-01-01 00:00:00.000000032,1800.0,0.51295425,1.0,6.0,7.0,1
5000,11.99,166.05,10,1970-01-01 00:00:00.000000041,2016,2,90000.0,29.17,10.0,25,46852,62.8,191.0,5103.37,103.37,0.0,1970-01-01 00:00:00.000000075,4940.65,1.020674,18.0,5.0,11.0,0
18000,15.99,437.63,14,1970-01-01 00:00:00.000000083,2017,3,40000.0,22.62,3.0,23,11351,82.3,71.0,3922.68,2044.78,0.0,1970-01-01 00:00:00.000000023,437.63,0.2179266666666666,2.2222222222222223,5.0,15.0,0
16000,7.49,497.63,3,1970-01-01 00:00:00.000000101,2014,11,106000.0,17.47,10.0,1,28474,81.4,328.0,17907.8595334519,1907.86,0.0,1970-01-01 00:00:00.000000085,497.47,1.1192412208407438,6.625,7.0,4.0,0
18000,10.99,589.22,6,1970-01-01 00:00:00.000000006,2014,4,116000.0,10.44,3.0,4,14549,35.2,129.0,20219.43,2219.43,0.0,1970-01-01 00:00:00.000000013,11381.13,1.1233016666666666,6.444444444444445,6.0,7.0,0
40000,15.99,972.51,14,1970-01-01 00:00:00.000000103,2016,11,83000.0,10.66,10.0,4,39510,51.6,202.0,42705.563798118,2705.56,0.0,1970-01-01 00:00:00.000000015,933.52,1.06763909495295,2.075,5.0,15.0,0
14350,10.49,466.35,7,1970-01-01 00:00:00.000000072,2016,6,31200.0,3.88,,37,2722,5.7,259.0,14906.47,2381.5,0.0,1970-01-01 00:00:00.000000032,466.35,1.0387783972125435,2.1742160278745644,6.0,8.0,0
5025,23.99,197.12,23,1970-01-01 00:00:00.000000092,2016,5,75000.0,16.82,10.0,14,6587,85.5,177.0,5115.3600002369,90.36,0.0,1970-01-01 00:00:00.000000056,5128.75,1.0179820895993832,14.92537313432836,3.0,24.0,0
1500,7.46,46.64,3,1970-01-01 00:00:00.000000074,2018,6,72000.0,10.57,10.0,42,7800,16.7,72.0,372.5,67.4,0.0,1970-01-01 00:00:00.000000032,46.64,0.2483333333333333,48.0,7.0,4.0,0
10000,8.19,314.25,4,1970-01-01 00:00:00.000000051,2015,1,46300.0,25.58,10.0,9,21699,59.9,137.0,10923.7300000228,923.73,0.0,1970-01-01 00:00:00.000000056,5904.83,1.09237300000228,4.63,7.0,5.0,0
9600,11.05,314.52,8,1970-01-01 00:00:00.000000074,2018,6,129000.0,15.45,10.0,39,16051,81.0,202.0,2504.37,636.83,0.0,1970-01-01 00:00:00.000000032,314.52,0.260871875,13.4375,6.0,9.0,0
